link1	link2	value
12.0	24.0	0.13
12.0	25.0	0.15
12.0	26.0	0.12
12.0	27.0	0.11
12.0	28.0	0.14
12.0	29.0	0.12
12.0	30.0	0.17
12.0	31.0	0.13
12.0	32.0	0.19
12.0	33.0	0.15
12.0	34.0	0.13
12.0	35.0	0.19
12.0	36.0	0.13
12.0	37.0	0.16
12.0	38.0	0.13
12.0	39.0	0.13
12.0	40.0	0.17
12.0	41.0	0.14
12.0	42.0	0.1
12.0	43.0	0.12
12.0	44.0	0.15
12.0	45.0	0.14
12.0	46.0	0.15
12.0	47.0	0.12
12.0	48.0	0.15
12.0	49.0	0.15
12.0	50.0	0.14
12.0	51.0	0.15
12.0	52.0	0.14
12.0	53.0	0.13
12.0	54.0	0.14
12.0	55.0	0.11
12.0	56.0	0.12
12.0	57.0	0.18
12.0	58.0	0.17
12.0	59.0	0.14
12.0	60.0	0.14
12.0	61.0	0.07
12.0	62.0	0.12
12.0	63.0	0.19
12.0	64.0	0.15
12.0	65.0	0.12
12.0	66.0	0.15
12.0	67.0	0.19
12.0	68.0	0.17
12.0	69.0	0.17
12.0	70.0	0.14
12.0	71.0	0.14
12.0	72.0	0.13
12.0	73.0	0.13
12.0	74.0	0.11
12.0	75.0	0.15
12.0	76.0	0.11
12.0	77.0	0.19
12.0	78.0	0.12
12.0	79.0	0.18
12.0	80.0	0.13
12.0	81.0	0.11
12.0	82.0	0.17
12.0	83.0	0.18
12.0	84.0	0.13
12.0	85.0	0.16
12.0	86.0	0.07
12.0	87.0	0.13
12.0	88.0	0.16
12.0	89.0	0.12
12.0	90.0	0.18
12.0	91.0	0.13
12.0	92.0	0.18
12.0	93.0	0.14
12.0	94.0	0.02
12.0	95.0	0.2
13.0	1.0	0.49
13.0	2.0	0.47
13.0	3.0	0.3
13.0	4.0	0.27
13.0	5.0	0.49
13.0	6.0	0.24
13.0	7.0	0.18
13.0	8.0	0.4
13.0	9.0	0.32
13.0	10.0	0.15
13.0	11.0	0.2
13.0	12.0	0.18
13	13	0
13.0	14.0	0.18
13.0	15.0	0.13
13.0	16.0	0.05
13.0	17.0	0.03
13.0	18.0	0.04
13.0	19.0	0.06
13.0	20.0	0.03
13.0	21.0	0.18
13.0	22.0	0.15
13.0	23.0	0.2
13.0	24.0	0.16
13.0	25.0	0.2
13.0	26.0	0.15
13.0	27.0	0.13
13.0	28.0	0.17
13.0	29.0	0.15
